species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,bill_length_z,bill_depth_z
Adelie,Torgersen,39.7,18.4,190,3900,male,2008,-0.7849795459920884,0.627215565706318
Adelie,Torgersen,39.6,17.2,196,3550,female,2008,-0.8032655333174028,0.017842018280486233
Adelie,Torgersen,45.8,18.9,197,4150,male,2008,0.33046568085207345,0.8811212104670814
Adelie,Torgersen,35.5,17.5,190,3700,female,2008,-1.552991013655283,0.1701854051369446
Adelie,Torgersen,42.8,18.5,195,4250,male,2008,-0.21811393890735092,0.6779966946584713
Adelie,Torgersen,40.9,16.8,191,3700,female,2008,-0.5655476980883194,-0.18528249752812376
Adelie,Torgersen,37.2,19.4,184,3900,male,2008,-1.242129229124942,1.1350268552278446
Adelie,Torgersen,36.2,16.1,187,3550,female,2008,-1.4249891023780834,-0.5407504001931921
Adelie,Torgersen,42.1,19.1,195,4000,male,2008,-0.34611585018454916,0.9826834683713882
Adelie,Torgersen,34.6,17.2,189,3200,female,2008,-1.71756489958311,0.017842018280486233
Adelie,Torgersen,42.9,17.6,196,4700,male,2008,-0.1998279515820365,0.22096653408909803
Adelie,Torgersen,36.7,18.8,187,3800,female,2008,-1.3335591657515127,0.8303400815149298
Adelie,Torgersen,35.1,19.4,193,4200,male,2008,-1.6261349629565394,1.1350268552278446
Adelie,Dream,37.3,17.8,191,3350,female,2008,-1.223843241799629,0.322528791993403
Adelie,Dream,41.3,20.3,194,3550,male,2008,-0.4924037487870631,1.5920570157972198
Adelie,Dream,36.3,19.5,190,3800,male,2008,-1.4067031150527705,1.1858079841799982
Adelie,Dream,36.9,18.6,189,3500,female,2008,-1.2969871911008852,0.7287778236106248
Adelie,Dream,38.3,19.2,189,3950,male,2008,-1.0409833685464875,1.0334645973235397
Adelie,Dream,38.9,18.8,190,3600,female,2008,-0.9312674445946023,0.8303400815149298
Adelie,Dream,35.7,18,202,3550,female,2008,-1.5164190390046541,0.424091049897708
Adelie,Dream,41.1,18.1,205,4300,male,2008,-0.5289757234376906,0.4748721788498614
Adelie,Dream,34,17.1,185,3400,female,2008,-1.827280823534995,-0.03293911067166536
Adelie,Dream,39.6,18.1,186,4450,male,2008,-0.8032655333174028,0.4748721788498614
Adelie,Dream,36.2,17.3,187,3300,female,2008,-1.4249891023780834,0.06862314723263963
Adelie,Dream,40.8,18.9,208,4300,male,2008,-0.5838336854136338,0.8811212104670814
Adelie,Dream,38.1,18.6,190,3700,female,2008,-1.077555343197115,0.7287778236106248
Adelie,Dream,40.3,18.5,196,4350,male,2008,-0.6752636220402045,0.6779966946584713
Adelie,Dream,33.1,16.1,178,2900,female,2008,-1.9918547094628223,-0.5407504001931921
Adelie,Dream,43.2,18.5,192,4100,male,2008,-0.1449699896060933,0.6779966946584713
Adelie,Biscoe,35,17.9,192,3725,female,2009,-1.6444209502818536,0.3733099209455546
Adelie,Biscoe,41,20,203,4725,male,2009,-0.547261710763005,1.4397136289407615
Adelie,Biscoe,37.7,16,183,3075,female,2009,-1.1506992924983712,-0.5915315291453456
Adelie,Biscoe,37.8,20,190,4250,male,2009,-1.1324133051730583,1.4397136289407615
Adelie,Biscoe,37.9,18.6,193,2925,female,2009,-1.1141273178477438,0.7287778236106248
Adelie,Biscoe,39.7,18.9,184,3550,male,2009,-0.7849795459920884,0.8811212104670814
Adelie,Biscoe,38.6,17.2,199,3750,female,2009,-0.9861254065705443,0.017842018280486233
Adelie,Biscoe,38.2,20,190,3900,male,2009,-1.0592693558718005,1.4397136289407615
Adelie,Biscoe,38.1,17,181,3175,female,2009,-1.077555343197115,-0.08372023962381876
Adelie,Biscoe,43.2,19,197,4775,male,2009,-0.1449699896060933,0.9319023394192347
Adelie,Biscoe,38.1,16.5,198,3825,female,2009,-1.077555343197115,-0.33762588438458213
Adelie,Biscoe,45.6,20.3,191,4600,male,2009,0.29389370620144595,1.5920570157972198
Adelie,Biscoe,39.7,17.7,193,3200,female,2009,-0.7849795459920884,0.2717476630412496
Adelie,Biscoe,42.2,19.5,197,4275,male,2009,-0.32782986285923477,1.1858079841799982
Adelie,Biscoe,39.6,20.7,191,3900,female,2009,-0.8032655333174028,1.79518153160583
Adelie,Biscoe,42.7,18.3,196,4075,male,2009,-0.236399926232664,0.5764344367541664
Adelie,Torgersen,38.6,17,188,2900,female,2009,-0.9861254065705443,-0.08372023962381876
Adelie,Torgersen,37.3,20.5,199,3775,male,2009,-1.223843241799629,1.693619273701525
Adelie,Torgersen,35.7,17,189,3350,female,2009,-1.5164190390046541,-0.08372023962381876
Adelie,Torgersen,41.1,18.6,189,3325,male,2009,-0.5289757234376906,0.7287778236106248
Adelie,Torgersen,36.2,17.2,187,3150,female,2009,-1.4249891023780834,0.017842018280486233
Adelie,Torgersen,37.7,19.8,198,3500,male,2009,-1.1506992924983712,1.3381513710364565
Adelie,Torgersen,40.2,17,176,3450,female,2009,-0.6935496093655177,-0.08372023962381876
Adelie,Torgersen,41.4,18.5,202,3875,male,2009,-0.4741177614617487,0.6779966946584713
Adelie,Torgersen,35.2,15.9,186,3050,female,2009,-1.6078489756312249,-0.642312658097498
Adelie,Torgersen,40.6,19,199,4000,male,2009,-0.6204056600642613,0.9319023394192347
Adelie,Torgersen,38.8,17.6,191,3275,female,2009,-0.9495534319199167,0.22096653408909803
Adelie,Torgersen,41.5,18.3,195,4300,male,2009,-0.4558317741364343,0.5764344367541664
Adelie,Torgersen,39,17.1,191,3050,female,2009,-0.9129814572692879,-0.03293911067166536
Adelie,Torgersen,44.1,18,210,4000,male,2009,0.019603896321733753,0.424091049897708
Adelie,Torgersen,38.5,17.9,190,3325,female,2009,-1.0044113938958588,0.3733099209455546
Adelie,Torgersen,43.1,19.2,197,3500,male,2009,-0.1632559769314077,1.0334645973235397
Adelie,Dream,36.8,18.5,193,3500,female,2009,-1.3152731784261997,0.6779966946584713
Adelie,Dream,37.5,18.5,199,4475,male,2009,-1.187271267149,0.6779966946584713
Adelie,Dream,38.1,17.6,187,3425,female,2009,-1.077555343197115,0.22096653408909803
Adelie,Dream,41.1,17.5,190,3900,male,2009,-0.5289757234376906,0.1701854051369446
Adelie,Dream,35.6,17.5,191,3175,female,2009,-1.5347050263299686,0.1701854051369446
Adelie,Dream,40.2,20.1,200,3975,male,2009,-0.6935496093655177,1.4904947578929149
Adelie,Dream,37,16.5,185,3400,female,2009,-1.2787012037755707,-0.33762588438458213
Adelie,Dream,39.7,17.9,193,4250,male,2009,-0.7849795459920884,0.3733099209455546
Adelie,Dream,40.2,17.1,193,3400,female,2009,-0.6935496093655177,-0.03293911067166536
Adelie,Dream,40.6,17.2,187,3475,male,2009,-0.6204056600642613,0.017842018280486233
Adelie,Dream,32.1,15.5,188,3050,female,2009,-2.1747145827159637,-0.845437173906109
Adelie,Dream,40.7,17,190,3725,male,2009,-0.602119672738947,-0.08372023962381876
Adelie,Dream,37.3,16.8,192,3000,female,2009,-1.223843241799629,-0.18528249752812376
Adelie,Dream,39,18.7,185,3650,male,2009,-0.9129814572692879,0.7795589525627764
Adelie,Dream,39.2,18.6,190,4250,male,2009,-0.8764094826186591,0.7287778236106248
Adelie,Dream,36.6,18.4,184,3475,female,2009,-1.3518451530768272,0.627215565706318
Adelie,Dream,36,17.8,195,3450,female,2009,-1.4615610770287122,0.322528791993403
Adelie,Dream,37.8,18.1,193,3750,male,2009,-1.1324133051730583,0.4748721788498614
Adelie,Dream,36,17.1,187,3700,female,2009,-1.4615610770287122,-0.03293911067166536
Adelie,Dream,41.5,18.5,201,4000,male,2009,-0.4558317741364343,0.6779966946584713
Gentoo,Biscoe,46.1,13.2,211,4500,female,2007,0.3853236428280167,-2.0134031398056207
Gentoo,Biscoe,50,16.3,230,5700,male,2007,1.098477148515268,-0.43918814228888714
Gentoo,Biscoe,48.7,14.1,210,4450,female,2007,0.8607593132861847,-1.5563729792362466
Gentoo,Biscoe,50,15.2,218,5700,male,2007,1.098477148515268,-0.9977805607625673
Gentoo,Biscoe,47.6,14.5,215,5400,male,2007,0.6596134527077289,-1.3532484634276356
Gentoo,Biscoe,46.5,13.5,210,4550,female,2007,0.45846759212927296,-1.8610597529491624
Gentoo,Biscoe,45.4,14.6,211,4800,female,2007,0.2573217315508171,-1.3024673344754831
Gentoo,Biscoe,46.7,15.3,219,5200,male,2007,0.4950395667799018,-0.9469994318104139
Gentoo,Biscoe,43.3,13.4,209,4400,female,2007,-0.1266840022807802,-1.9118408819013148
Gentoo,Biscoe,46.8,15.4,215,5150,male,2007,0.5133255541052149,-0.8962183028582614
Gentoo,Biscoe,40.9,13.7,214,4650,female,2007,-0.5655476980883194,-1.7594974950448574
Gentoo,Biscoe,49,16.1,216,5550,male,2007,0.9156172752621267,-0.5407504001931921
Gentoo,Biscoe,45.5,13.7,214,4650,female,2007,0.27560771887613156,-1.7594974950448574
Gentoo,Biscoe,48.4,14.6,213,5850,male,2007,0.8059013513102415,-1.3024673344754831
Gentoo,Biscoe,45.8,14.6,210,4200,female,2007,0.33046568085207345,-1.3024673344754831
Gentoo,Biscoe,49.3,15.7,217,5850,male,2007,0.9704752372380685,-0.7438749160018039
Gentoo,Biscoe,42,13.5,210,4150,female,2007,-0.36440183750986355,-1.8610597529491624
Gentoo,Biscoe,49.2,15.2,221,6300,male,2007,0.9521892499127554,-0.9977805607625673
Gentoo,Biscoe,46.2,14.5,209,4800,female,2007,0.40360963015333107,-1.3532484634276356
Gentoo,Biscoe,48.7,15.1,222,5350,male,2007,0.8607593132861847,-1.0485616897147199
Gentoo,Biscoe,50.2,14.3,218,5700,male,2007,1.1350491231658968,-1.4548107213319406
Gentoo,Biscoe,45.1,14.5,215,5000,female,2007,0.20246376957487522,-1.3532484634276356
Gentoo,Biscoe,46.5,14.5,213,4400,female,2007,0.45846759212927296,-1.3532484634276356
Gentoo,Biscoe,46.3,15.8,215,5050,male,2007,0.4218956174786442,-0.6930937870496505
Gentoo,Biscoe,42.9,13.1,215,5000,female,2007,-0.1998279515820365,-2.0641842687577734
Gentoo,Biscoe,46.1,15.1,215,5100,male,2007,0.3853236428280167,-1.0485616897147199
Gentoo,Biscoe,47.8,15,215,5650,male,2007,0.6961854273583563,-1.0993428186668723
Gentoo,Biscoe,48.2,14.3,210,4600,female,2007,0.769329376659614,-1.4548107213319406
Gentoo,Biscoe,50,15.3,220,5550,male,2007,1.098477148515268,-0.9469994318104139
Gentoo,Biscoe,47.3,15.3,222,5250,male,2007,0.6047554907317856,-0.9469994318104139
Gentoo,Biscoe,42.8,14.2,209,4700,female,2007,-0.21811393890735092,-1.5055918502840941
Gentoo,Biscoe,45.1,14.5,207,5050,female,2007,0.20246376957487522,-1.3532484634276356
Gentoo,Biscoe,59.6,17,230,6050,male,2007,2.8539319317454264,-0.08372023962381876
Gentoo,Biscoe,49.1,14.8,220,5150,female,2008,0.933903262587441,-1.2009050765711773
Gentoo,Biscoe,48.4,16.3,220,5400,male,2008,0.8059013513102415,-0.43918814228888714
Gentoo,Biscoe,42.6,13.7,213,4950,female,2008,-0.2546859135579784,-1.7594974950448574
Gentoo,Biscoe,44.4,17.3,219,5250,male,2008,0.07446185829767567,0.06862314723263963
Gentoo,Biscoe,44,13.6,208,4350,female,2008,0.001317908996419349,-1.81027862399701
Gentoo,Biscoe,48.7,15.7,208,5350,male,2008,0.8607593132861847,-0.7438749160018039
Gentoo,Biscoe,42.7,13.7,208,3950,female,2008,-0.236399926232664,-1.7594974950448574
Gentoo,Biscoe,49.6,16,225,5700,male,2008,1.0253331992140118,-0.5915315291453456
Gentoo,Biscoe,45.3,13.7,210,4300,female,2008,0.23903574422550272,-1.7594974950448574
Gentoo,Biscoe,49.6,15,216,4750,male,2008,1.0253331992140118,-1.0993428186668723
Gentoo,Biscoe,50.5,15.9,222,5550,male,2008,1.1899070851418387,-0.642312658097498
Gentoo,Biscoe,43.6,13.9,217,4900,female,2008,-0.07182604030483697,-1.6579352371405516
Gentoo,Biscoe,45.5,13.9,210,4200,female,2008,0.27560771887613156,-1.6579352371405516
Gentoo,Biscoe,50.5,15.9,225,5400,male,2008,1.1899070851418387,-0.642312658097498
Gentoo,Biscoe,44.9,13.3,213,5100,female,2008,0.1658917949242464,-1.9626220108534673
Gentoo,Biscoe,45.2,15.8,215,5300,male,2008,0.2207497569001896,-0.6930937870496505
Gentoo,Biscoe,46.6,14.2,210,4850,female,2008,0.4767535794545874,-1.5055918502840941
Gentoo,Biscoe,48.5,14.1,220,5300,male,2008,0.8241873386355559,-1.5563729792362466
Gentoo,Biscoe,45.1,14.4,210,4400,female,2008,0.20246376957487522,-1.404029592379788
Gentoo,Biscoe,50.1,15,225,5000,male,2008,1.1167631358405825,-1.0993428186668723
Gentoo,Biscoe,46.5,14.4,217,4900,female,2008,0.45846759212927296,-1.404029592379788
Gentoo,Biscoe,45,15.4,220,5050,male,2008,0.1841777822495608,-0.8962183028582614
Gentoo,Biscoe,43.8,13.9,208,4300,female,2008,-0.03525406565420946,-1.6579352371405516
Gentoo,Biscoe,45.5,15,220,5000,male,2008,0.27560771887613156,-1.0993428186668723
Gentoo,Biscoe,43.2,14.5,208,4450,female,2008,-0.1449699896060933,-1.3532484634276356
Gentoo,Biscoe,50.4,15.3,224,5550,male,2008,1.1716210978165245,-0.9469994318104139
Gentoo,Biscoe,45.3,13.8,208,4200,female,2008,0.23903574422550272,-1.708716366092704
Gentoo,Biscoe,46.2,14.9,221,5300,male,2008,0.40360963015333107,-1.1501239476190248
Gentoo,Biscoe,45.7,13.9,214,4400,female,2008,0.31217969352676034,-1.6579352371405516
Gentoo,Biscoe,54.3,15.7,231,5650,male,2008,1.8847746035037758,-0.7438749160018039
Gentoo,Biscoe,45.8,14.2,219,4700,female,2008,0.33046568085207345,-1.5055918502840941
Gentoo,Biscoe,49.8,16.8,230,5700,male,2008,1.0619051738646392,-0.18528249752812376
Gentoo,Biscoe,49.5,16.2,229,5800,male,2008,1.0070472118886973,-0.4899692712410405
Gentoo,Biscoe,43.5,14.2,220,4700,female,2008,-0.09011202763015137,-1.5055918502840941
Gentoo,Biscoe,50.7,15,223,5550,male,2008,1.2264790597924675,-1.0993428186668723
Gentoo,Biscoe,47.7,15,216,4750,female,2008,0.6778994400330433,-1.0993428186668723
Gentoo,Biscoe,46.4,15.6,221,5000,male,2008,0.44018160480395857,-0.7946560449539564
Gentoo,Biscoe,48.2,15.6,221,5100,male,2008,0.769329376659614,-0.7946560449539564
Gentoo,Biscoe,46.5,14.8,217,5200,female,2008,0.45846759212927296,-1.2009050765711773
Gentoo,Biscoe,46.4,15,216,4700,female,2008,0.44018160480395857,-1.0993428186668723
Gentoo,Biscoe,48.6,16,230,5800,male,2008,0.8424733259608703,-0.5915315291453456
Gentoo,Biscoe,47.5,14.2,209,4600,female,2008,0.6413274653824145,-1.5055918502840941
Gentoo,Biscoe,51.1,16.3,220,6000,male,2008,1.299623009093724,-0.43918814228888714
Gentoo,Biscoe,45.2,13.8,215,4750,female,2008,0.2207497569001896,-1.708716366092704
Gentoo,Biscoe,45.2,16.4,223,5950,male,2008,0.2207497569001896,-0.38840701333673555
Gentoo,Biscoe,49.1,14.5,212,4625,female,2009,0.933903262587441,-1.3532484634276356
Gentoo,Biscoe,52.5,15.6,221,5450,male,2009,1.5556268316481217,-0.7946560449539564
Gentoo,Biscoe,47.4,14.6,212,4725,female,2009,0.6230414780571001,-1.3024673344754831
Gentoo,Biscoe,50,15.9,224,5350,male,2009,1.098477148515268,-0.642312658097498
Gentoo,Biscoe,44.9,13.8,212,4750,female,2009,0.1658917949242464,-1.708716366092704
Gentoo,Biscoe,50.8,17.3,228,5600,male,2009,1.2447650471177807,0.06862314723263963
Gentoo,Biscoe,43.4,14.4,218,4600,female,2009,-0.10839801495546579,-1.404029592379788
Gentoo,Biscoe,51.3,14.2,218,5300,male,2009,1.3361949837443514,-1.5055918502840941
Gentoo,Biscoe,47.5,14,212,4875,female,2009,0.6413274653824145,-1.607154108188399
Gentoo,Biscoe,52.1,17,230,5550,male,2009,1.4824828823468654,-0.08372023962381876
Gentoo,Biscoe,47.5,15,218,4950,female,2009,0.6413274653824145,-1.0993428186668723
Gentoo,Biscoe,52.2,17.1,228,5400,male,2009,1.5007688696721797,-0.03293911067166536
Gentoo,Biscoe,45.5,14.5,212,4750,female,2009,0.27560771887613156,-1.3532484634276356
Gentoo,Biscoe,49.5,16.1,224,5650,male,2009,1.0070472118886973,-0.5407504001931921
Gentoo,Biscoe,44.5,14.7,214,4850,female,2009,0.09274784562299007,-1.2516862055233307
Gentoo,Biscoe,50.8,15.7,226,5200,male,2009,1.2447650471177807,-0.7438749160018039
Gentoo,Biscoe,49.4,15.8,216,4925,male,2009,0.9887612245633829,-0.6930937870496505
Gentoo,Biscoe,46.9,14.6,222,4875,female,2009,0.5316115414305294,-1.3024673344754831
Gentoo,Biscoe,48.4,14.4,203,4625,female,2009,0.8059013513102415,-1.404029592379788
Gentoo,Biscoe,51.1,16.5,225,5250,male,2009,1.299623009093724,-0.33762588438458213
Gentoo,Biscoe,48.5,15,219,4850,female,2009,0.8241873386355559,-1.0993428186668723
Gentoo,Biscoe,55.9,17,228,5600,male,2009,2.1773504007088023,-0.08372023962381876
Gentoo,Biscoe,47.2,15.5,215,4975,female,2009,0.5864695034064725,-0.845437173906109
Gentoo,Biscoe,49.1,15,228,5500,male,2009,0.933903262587441,-1.0993428186668723
Gentoo,Biscoe,46.8,16.1,215,5500,male,2009,0.5133255541052149,-0.5407504001931921
Gentoo,Biscoe,41.7,14.7,210,4700,female,2009,-0.4192597994858055,-1.2516862055233307
Gentoo,Biscoe,53.4,15.8,219,5500,male,2009,1.7202007175759488,-0.6930937870496505
Gentoo,Biscoe,43.3,14,208,4575,female,2009,-0.1266840022807802,-1.607154108188399
Gentoo,Biscoe,48.1,15.1,209,5500,male,2009,0.7510433893342996,-1.0485616897147199
Gentoo,Biscoe,50.5,15.2,216,5000,female,2009,1.1899070851418387,-0.9977805607625673
Gentoo,Biscoe,49.8,15.9,229,5950,male,2009,1.0619051738646392,-0.642312658097498
Gentoo,Biscoe,43.5,15.2,213,4650,female,2009,-0.09011202763015137,-0.9977805607625673
Gentoo,Biscoe,51.5,16.3,230,5500,male,2009,1.3727669583949802,-0.43918814228888714
Gentoo,Biscoe,46.2,14.1,217,4375,female,2009,0.40360963015333107,-1.5563729792362466
Gentoo,Biscoe,55.1,16,230,5850,male,2009,2.03106250210629,-0.5915315291453456
Gentoo,Biscoe,48.8,16.2,222,6000,male,2009,0.8790453006114978,-0.4899692712410405
Gentoo,Biscoe,47.2,13.7,214,4925,female,2009,0.5864695034064725,-1.7594974950448574
Gentoo,Biscoe,46.8,14.3,215,4850,female,2009,0.5133255541052149,-1.4548107213319406
Gentoo,Biscoe,50.4,15.7,222,5750,male,2009,1.1716210978165245,-0.7438749160018039
Gentoo,Biscoe,45.2,14.8,212,5200,female,2009,0.2207497569001896,-1.2009050765711773
Gentoo,Biscoe,49.9,16.1,213,5400,male,2009,1.0801911611899537,-0.5407504001931921
Chinstrap,Dream,46.5,17.9,192,3500,female,2007,0.45846759212927296,0.3733099209455546
Chinstrap,Dream,50,19.5,196,3900,male,2007,1.098477148515268,1.1858079841799982
Chinstrap,Dream,51.3,19.2,193,3650,male,2007,1.3361949837443514,1.0334645973235397
Chinstrap,Dream,45.4,18.7,188,3525,female,2007,0.2573217315508171,0.7795589525627764
Chinstrap,Dream,52.7,19.8,197,3725,male,2007,1.5921988062987504,1.3381513710364565
Chinstrap,Dream,45.2,17.8,198,3950,female,2007,0.2207497569001896,0.322528791993403
Chinstrap,Dream,46.1,18.2,178,3250,female,2007,0.3853236428280167,0.525653307802013
Chinstrap,Dream,51.3,18.2,197,3750,male,2007,1.3361949837443514,0.525653307802013
Chinstrap,Dream,46,18.9,195,4150,female,2007,0.36703765550270223,0.8811212104670814
Chinstrap,Dream,51.3,19.9,198,3700,male,2007,1.3361949837443514,1.3889324999886081
Chinstrap,Dream,46.6,17.8,193,3800,female,2007,0.4767535794545874,0.322528791993403
Chinstrap,Dream,51.7,20.3,194,3775,male,2007,1.409338933045609,1.5920570157972198
Chinstrap,Dream,47,17.3,185,3700,female,2007,0.5498975287558437,0.06862314723263963
Chinstrap,Dream,52,18.1,201,4050,male,2007,1.464196895021551,0.4748721788498614
Chinstrap,Dream,45.9,17.1,190,3575,female,2007,0.34875166817738784,-0.03293911067166536
Chinstrap,Dream,50.5,19.6,201,4050,male,2007,1.1899070851418387,1.2365891131321516
Chinstrap,Dream,50.3,20,197,3300,male,2007,1.15333511049121,1.4397136289407615
Chinstrap,Dream,58,17.8,181,3700,female,2007,2.5613561345403997,0.322528791993403
Chinstrap,Dream,46.4,18.6,190,3450,female,2007,0.44018160480395857,0.7287778236106248
Chinstrap,Dream,49.2,18.2,195,4400,male,2007,0.9521892499127554,0.525653307802013
Chinstrap,Dream,42.4,17.3,181,3600,female,2007,-0.29125788820860726,0.06862314723263963
Chinstrap,Dream,48.5,17.5,191,3400,male,2007,0.8241873386355559,0.1701854051369446
Chinstrap,Dream,43.2,16.6,187,2900,female,2007,-0.1449699896060933,-0.28684475543242877
Chinstrap,Dream,50.6,19.4,193,3800,male,2007,1.2081930724671532,1.1350268552278446
Chinstrap,Dream,46.7,17.9,195,3300,female,2007,0.4950395667799018,0.3733099209455546
Chinstrap,Dream,52,19,197,4150,male,2007,1.464196895021551,0.9319023394192347
Chinstrap,Dream,50.5,18.4,200,3400,female,2008,1.1899070851418387,0.627215565706318
Chinstrap,Dream,49.5,19,200,3800,male,2008,1.0070472118886973,0.9319023394192347
